127.0.0.1 - - [13/Mar/2025:09:17:02 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:17:03 +0900] "GET /jsp_250312/chapter04/desc.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:17:15 +0900] "GET /jsp_250312/chapter04/desc.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:17:42 +0900] "GET /jsp_250312/chapter04/desc.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:17:45 +0900] "GET /jsp_250312/chapter04/desc.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:19:41 +0900] "GET /jsp_250312/chapter04/scriptlet01.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:21:43 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:22:38 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 500 2219
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:22:43 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 500 2219
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:22:48 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 500 2219
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:23:10 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:24:37 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:24:48 +0900] "GET /jsp_250312/chapter04/scriptlet02.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:27:38 +0900] "GET /jsp_250312/chapter04/scriptlet03.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:30:30 +0900] "GET /jsp_250312/chapter04/ecpression01.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:32:49 +0900] "GET /jsp_250312/chapter04/expression01.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:33:17 +0900] "GET /jsp_250312/chapter04/expression02.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:33:26 +0900] "GET /jsp_250312/chapter04/expression01.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:33:37 +0900] "GET /jsp_250312/chapter04/expression02.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:38:51 +0900] "GET /jsp_250312/chapter04/expr01.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:41:21 +0900] "GET /jsp_250312/chapter04/age.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:44:11 +0900] "GET /jsp_250312/chapter04/base.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:44:58 +0900] "GET /jsp_250312/chapter04/base.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [13/Mar/2025:09:46:03 +0900] "GET /jsp_250312/chapter04/base.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:08:16 +0900] "GET /jsp_250312/chapter04/scriptlet.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:08:29 +0900] "GET /jsp_250312/chapter04/scriptlet.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:10:19 +0900] "GET /jsp_250312/chapter04/scriptlet.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:15:37 +0900] "GET /jsp_250312/chapter04/expression.jsp HTTP/1.1" 500 2196
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:16:39 +0900] "GET /jsp_250312/chapter04/expression.jsp HTTP/1.1" 500 2487
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:19:16 +0900] "GET /jsp_250312/chapter04/expression.jsp HTTP/1.1" 500 2213
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:24:55 +0900] "GET /jsp_250312/chapter04/expression.jsp HTTP/1.1" 500 2213
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:28:12 +0900] "GET /jsp_250312/chapter04/expression.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:31:31 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:31:44 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:31:49 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:31:55 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:34:14 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:35:07 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:35:22 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:35:54 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:45:04 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:45:13 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:46:09 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 511
